1433B_HUMAN;P31946;7529
1433E_HUMAN;P62258;7531
1433F_HUMAN;Q04917;7533
1433G_HUMAN;P61981;7532
1433S_HUMAN;P31947;2810
1433T_HUMAN;P27348;10971
1433Z_HUMAN;P63104;7534
1A01_HUMAN;P30443;3105
1A03_HUMAN;P04439;3105
1B07_HUMAN;P01889;3106
1C07_HUMAN;P10321;3107
2A5A_HUMAN;Q15172;5525
2A5B_HUMAN;Q15173;5526
2A5D_HUMAN;Q14738;5528
2A5E_HUMAN;Q16537;5529
2A5G_HUMAN;Q13362;5527
2AAA_HUMAN;P30153;5518
2AAB_HUMAN;P30154;5519
2ABA_HUMAN;P63151;5520
2ABB_HUMAN;Q00005;5521
2ABD_HUMAN;Q66LE6;55844
2ABG_HUMAN;Q9Y2T4;5522
2B13_HUMAN;P01912;3123
2B17_HUMAN;P13761;3123
2B1F_HUMAN;P01911;3123
2B1G_HUMAN;Q29974;3123
3BHS1_HUMAN;P14060;3283
3BHS2_HUMAN;P26439;3284
3BHS7_HUMAN;Q9H2F3;80270
3BP2_HUMAN;P78314;6452
3HAO_HUMAN;P46952;23498
3HIDH_HUMAN;P31937;11112
3MG_HUMAN;P29372;4350
4EBP1_HUMAN;Q13541;1978
4EBP2_HUMAN;Q13542;1979
4EBP3_HUMAN;O60516;8637
4F2_HUMAN;P08195;6520
5HT1A_HUMAN;P08908;3350
5HT1B_HUMAN;P28222;3351
5HT1D_HUMAN;P28221;3352
5HT1E_HUMAN;P28566;3354
5HT1F_HUMAN;P30939;3355
5HT2A_HUMAN;P28223;3356
5HT2B_HUMAN;P41595;3357
5HT2C_HUMAN;P28335;3358
5HT3A_HUMAN;P46098;3359
5HT3B_HUMAN;O95264;9177
5HT3C_HUMAN;Q8WXA8;170572
5HT3D_HUMAN;Q70Z44;200909
5HT3E_HUMAN;A5X5Y0;285242
5HT4R_HUMAN;Q13639;3360
5HT5A_HUMAN;P47898;3361
5HT6R_HUMAN;P50406;3362
5HT7R_HUMAN;P34969;3363
5NT1A_HUMAN;Q9BXI3;84618
5NT1B_HUMAN;Q96P26;100526794
5NT3A_HUMAN;Q9H0P0;51251
5NT3B_HUMAN;Q969T7;115024
5NTC_HUMAN;P49902;22978
5NTD_HUMAN;P21589;4907
6PGD_HUMAN;P52209;5226
6PGL_HUMAN;O95336;25796
A16L1_HUMAN;Q676U5;55054
A16L2_HUMAN;Q8NAA4;89849
A1AT_HUMAN;P01009;5265
A2AP_HUMAN;P08697;5345
A2MG_HUMAN;P01023;2
A3LT2_HUMAN;U3KPV4;127550
A4GAT_HUMAN;Q9NPC4;53947
A4_HUMAN;P05067;351
AA1R_HUMAN;P30542;134
AA2AR_HUMAN;P29274;135
AA2BR_HUMAN;P29275;136
AA3R_HUMAN;P0DMS8;140
AAAS_HUMAN;Q9NRG9;8086
AAAT_HUMAN;Q15758;6510
AACS_HUMAN;Q86V21;65985
AADAT_HUMAN;Q8N5Z0;51166
AAKB1_HUMAN;Q9Y478;5564
AAKB2_HUMAN;O43741;5565
